source,target
76561198408714684,76561198449110766
76561198408714684,76561198449690794
76561198408714684,76561198449814778
76561198408714684,76561198450097555
76561198408714684,76561198450292081
76561198408714684,76561198451432957
76561198408714684,76561198455088459
76561198408714684,76561198577817824
76561198408714684,76561198797236221
76561198408714684,76561198797736598
76561198408714684,76561198798246391
76561198408714684,76561198799991952
76561198408714684,76561198802351715
76561198408714684,76561198806560810
76561198408714684,76561198808663150
76561198408714684,76561198810490012
76561198408714684,76561198810506925
76561198408714684,76561198810892925
76561198408714684,76561198811757428
76561198408714684,76561198812110177
76561198408714684,76561198815279462
76561198408714684,76561198815484932
76561198408714684,76561198820531264
76561198408714684,76561198820976203
76561198408714684,76561198824006134
76561198408714684,76561198827769007
76561198408714684,76561198829406010
76561198408714684,76561198834063225
76561198408714684,76561198835621054
76561198408714684,76561198840710002
76561198408714684,76561198847756736
76561198408714684,76561198851478613
76561198408714684,76561198872495656
76561198408714684,76561198879676083
76561198408714684,76561198890740469
76561198408714684,76561198895427444
76561198408714684,76561198978542690
76561198408714684,76561198992137078
76561198408714684,76561198992444100
76561198408714684,76561198993322255
76561198408714684,76561198996819346
76561198408714684,76561199130291403
76561198408714684,76561199184235949
76561198408714684,76561199436343356
76561198408714684,76561198408901878
76561198577817824,76561197995699872
76561198577817824,76561197996408987
76561198577817824,76561198020609325
76561198577817824,76561198046020486
76561198577817824,76561198076095356
76561198577817824,76561198097828364
76561198577817824,76561198104356877
76561198577817824,76561198120198635
76561198577817824,76561198146218939
76561198577817824,76561198151380079
76561198577817824,76561198168753516
76561198577817824,76561198171012077
76561198577817824,76561198190825925
76561198577817824,76561198210581695
76561198577817824,76561198217728075
76561198577817824,76561198249960582
76561198577817824,76561198271126370
76561198577817824,76561198287416265
76561198577817824,76561198292083156
76561198577817824,76561198303966441
76561198577817824,76561198304218550
76561198577817824,76561198318417814
76561198577817824,76561198321157995
76561198577817824,76561198321258218
76561198577817824,76561198336420740
76561198577817824,76561198374050290
76561198577817824,76561198404693125
76561198577817824,76561198432509691
76561198577817824,76561198433979759
76561198577817824,76561198437104096
76561198577817824,76561198437659158
76561198577817824,76561198760116842
76561198577817824,76561198799200008
76561198577817824,76561198802351715
76561198577817824,76561198806973520
76561198577817824,76561198811297123
76561198577817824,76561198823799525
76561198577817824,76561198824713494
76561198577817824,76561198835012109
76561198577817824,76561198871677747
76561198577817824,76561199006601187
76561198577817824,76561199025723576
76561198577817824,76561199030277211
76561198577817824,76561199058162343
76561198577817824,76561199065166509
76561198577817824,76561199073658385
76561198577817824,76561199098071978
76561198577817824,76561199103458970
76561198577817824,76561199105895713
76561198577817824,76561199118259711
76561198577817824,76561199172962784
76561198577817824,76561199189083692
76561198577817824,76561199202997464
76561198577817824,76561199210662980
76561198577817824,76561199218556445
76561198577817824,76561199221484452
76561198577817824,76561199257098114
76561198577817824,76561199369286205
76561198577817824,76561199375445244
